,high,low,open,close,volume,neg,neu,pos,compound,references
2021-09-10,3508.449951171875,3462.909912109375,3501.830078125,3469.14990234375,2393300,0.0517,0.79885,0.14945000000000003,0.15427000000000002,20
2021-09-15,3485.419921875,3402.010009765625,3442.52001953125,3475.7900390625,2957500,0.06508333333333333,0.7952083333333332,0.13970833333333335,0.08539166666666669,24
2021-09-16,3492.550048828125,3446.139892578125,3459.9599609375,3488.239990234375,2583600,0.060950000000000004,0.75615,0.18294999999999997,0.16318000000000002,20
2021-09-17,3497.409912109375,3452.1298828125,3488.409912109375,3462.52001953125,4616600,0.12393749999999999,0.7911874999999999,0.084875,-0.06949999999999999,16
2021-09-20,3419.0,3305.010009765625,3396.0,3355.72998046875,4669100,0.05506666666666667,0.7491333333333333,0.1958666666666667,0.21292,15
2021-09-22,3389.0,3341.050048828125,3351.0,3380.050048828125,2411400,0.045799999999999993,0.8022,0.152,0.20044,5
2021-09-23,3428.9599609375,3380.050048828125,3380.050048828125,3416.0,2379400,0.022310344827586207,0.7702758620689655,0.20744827586206896,0.24745172413793107,29
2021-09-24,3429.260009765625,3393.39990234375,3402.010009765625,3425.52001953125,2116200,0.02761111111111111,0.7613888888888887,0.21099999999999997,0.29261111111111116,18
2021-09-27,3415.570068359375,3339.610107421875,3371.5,3405.800048828125,3634500,0.10531578947368422,0.7015789473684211,0.19326315789473686,0.13949473684210528,19
2021-09-30,3327.85009765625,3273.989990234375,3316.0,3285.0400390625,2842400,0.041684210526315796,0.8500526315789474,0.10826315789473684,0.10957894736842104,19
2021-10-01,3309.169921875,3255.93994140625,3289.010009765625,3283.260009765625,2835600,0.06943478260869565,0.8023913043478261,0.12821739130434784,0.0810608695652174,23
2021-10-04,3279.989990234375,3176.25,3279.389892578125,3189.780029296875,4523100,0.0476875,0.7966562500000001,0.15565625,0.16108437500000003,32
2021-10-06,3264.340087890625,3198.6201171875,3213.530029296875,3262.010009765625,2533000,0.0353125,0.8160937500000002,0.14862499999999998,0.148221875,32
2021-10-07,3325.75,3283.06005859375,3291.5400390625,3302.429931640625,2409100,0.01757894736842105,0.8915789473684211,0.09084210526315792,0.10522631578947368,19
2021-10-08,3321.429931640625,3288.199951171875,3317.0,3288.6201171875,1995500,0.036555555555555556,0.8547777777777777,0.10866666666666668,0.08607777777777777,18
2021-10-11,3292.590087890625,3238.10009765625,3275.0,3246.300048828125,2034200,0.0057272727272727275,0.8365909090909092,0.15768181818181817,0.2695454545454546,22
2021-10-12,3267.530029296875,3236.280029296875,3257.0,3247.330078125,1819600,0.02285294117647059,0.7999411764705883,0.17723529411764705,0.22775294117647063,34
2021-10-18,3449.169921875,3385.10009765625,3388.360107421875,3446.739990234375,3174100,0.030818181818181814,0.7716363636363635,0.1976060606060606,0.24319090909090912,33
2021-10-19,3454.68994140625,3422.0,3434.2900390625,3444.14990234375,2386100,0.016212121212121212,0.8256363636363637,0.15815151515151513,0.19834242424242424,33
2021-10-20,3462.860107421875,3400.3701171875,3452.659912109375,3415.06005859375,2139800,0.019937499999999997,0.8199062500000001,0.16009374999999998,0.22635937500000003,32
2021-10-25,3347.800048828125,3297.699951171875,3335.0,3320.3701171875,2226000,0.058266666666666675,0.8472666666666667,0.09446666666666666,0.08898666666666667,30
2021-10-26,3416.1201171875,3343.97998046875,3349.510009765625,3376.070068359375,2698300,0.03861111111111111,0.8591111111111109,0.10227777777777777,0.06604444444444446,36
2021-10-27,3437.0,3371.449951171875,3388.0,3392.489990234375,2702200,0.04303225806451613,0.8705483870967742,0.08638709677419355,0.036719354838709674,31
2021-11-01,3375.860107421875,3292.02001953125,3361.800048828125,3318.110107421875,3608900,0.0279375,0.8310312499999998,0.14103125,0.15096250000000003,32
2021-11-02,3331.1201171875,3283.550048828125,3315.010009765625,3312.75,2627600,0.0676451612903226,0.8195483870967742,0.11280645161290322,0.059335483870967744,31
2021-11-03,3394.919921875,3297.52001953125,3309.0,3384.0,3397200,0.053260869565217396,0.8148260869565216,0.13191304347826086,0.13251304347826084,23
